,Accuracy,Balanced Acc,Precision,Recall,F1-score,Precision (macro),Recall (macro),F1 (macro),MCC,Specificity,Missed Detection Rate,False Alarm Rate,ROC-AUC,Params,Train time (s)
MS4N (S4D),0.9902018420536939,0.9796435901881952,0.996993772815117,0.992306048300919,0.9946443873179092,0.9581381420129397,0.9796435901881952,0.9685865614750465,0.9375351155817806,0.9669811320754716,0.007693951699081001,0.0330188679245283,0.9992580256223109,21506.0,37.570093870162964
MS4 (S4D),0.9888300999412111,0.9842574913201095,0.9980603448275862,0.9897413977345587,0.9938834638909754,0.9471943192820436,0.9842574913201095,0.9648109540424437,0.930714132670449,0.9787735849056604,0.010258602265441334,0.02122641509433962,0.9991718315879461,21378.0,30.321393966674805
Mamba-2,0.9925533999608074,0.9680572973583292,0.9944598337950139,0.9974353494336397,0.9959453691848058,0.9825957705560435,0.9680572973583292,0.9751909100120671,0.9505418919395865,0.9386792452830188,0.0025646505663603335,0.06132075471698113,0.9991748559400292,36882.0,73.0915801525116
KAN,0.9943170683911424,0.9915391230185453,0.9989270386266095,0.9948706988672793,0.9968947424777813,0.9723754831959233,0.9915391230185453,0.9817230344453497,0.963724090693152,0.9882075471698113,0.005129301132720667,0.01179245283018868,0.999720247432325,31286.0,31.240705966949463
ANN,0.9939251420732902,0.993470171823523,0.9993553932101418,0.9940158153451593,0.9966784528018858,0.9684972957142023,0.993470171823523,0.9805843581306107,0.9616432623690415,0.9929245283018868,0.005984184654840778,0.007075471698113208,0.9996395980434458,8936.0,9.114074945449829
PSO-ELM,0.9739368998628258,0.8517394561005214,0.9739366138448707,0.9982902329557598,0.9859630606860158,0.9739389909615233,0.8517394561005214,0.9020102581131857,0.8165856792906331,0.7051886792452831,0.0017097670442402222,0.294811320754717,0.9936700310903394,8190.0,41.61266469955444
LSTM,0.9905937683715461,0.9755677716977099,0.9961431326333833,0.9935883735840991,0.9948641129895143,0.963667896591921,0.9755677716977099,0.969525079750571,0.93916028108089,0.9575471698113207,0.006411626415900834,0.04245283018867924,0.9983797033715478,51970.0,47.81939220428467
LRCN,0.9921614736429551,0.9807121945908455,0.9970002142704093,0.9944432571062193,0.9957200941579285,0.9686835933737368,0.9807121945908455,0.9746042331254758,0.9493195852597005,0.9669811320754716,0.005556742893780722,0.0330188679245283,0.9987900071374708,45410.0,22.14020800590515
