,MS4N (S4D),Mamba-2,KAN,ANN,PSO-ELM,LSTM,LRCN
nan,1.0,1.0,1.0,1.0,0.9967812835834866,1.0,0.9911302065124115
20,0.9993562567166974,1.0,0.9993576359189149,1.0,0.9794232613024559,0.9967743546338864,1.0
10,0.9948992953171073,0.9917550796695769,0.9974222585924714,0.9961663324405055,0.9500269304215835,0.9948775397735998,0.9961663324405055
5,0.9709844708771027,0.99290358019455,0.9942187232702336,0.9817991743724621,0.9188127723116575,0.9749735414964479,0.9922833656602967
0,0.9529371962010754,0.9745658187413456,0.980993299669453,0.9647322849957961,0.8825577714466604,0.9399281291081436,0.9708435728193308
-5,0.9321707704060646,0.9431381215667747,0.9687169268705598,0.9497264021887825,0.9085714285714286,0.9062177195280147,0.9481101857783472
-10,0.9194135651068475,0.9269724885137278,0.9656953042907729,0.9445028835981529,0.8828512396694215,0.8864243901992623,0.9200515388729518
