,TL-1,TL-2,TL-3,TL-4
MS4N (S4D),0.995221027479092,1.0,0.9873595505617978,0.955794504181601
MS4 (S4D),0.996415770609319,1.0,0.9873595505617978,0.946236559139785
Mamba-2,0.997610513739546,0.9996319470003681,0.9831460674157303,0.972520908004779
KAN,0.9796893667861409,1.0,0.9887640449438202,0.995221027479092
ANN,0.986857825567503,1.0,0.976123595505618,0.996415770609319
PSO-ELM,0.9581839904420549,1.0,0.9353932584269663,0.937873357228196
LSTM,0.998805256869773,0.9996319470003681,0.9831460674157303,0.959378733572282
LRCN,0.997610513739546,1.0,0.9845505617977528,0.967741935483871
