,MS4N (S4D),Mamba-2,KAN,ANN,LSTM,LRCN
TL-1,0.9361460741501841,0.9667356412382593,0.9392485821815182,0.9093126733638888,0.9639837451661533,0.9870221289451335
TL-2,0.7250858214352512,0.7721212853442354,0.7415285251848303,0.8272728818325084,0.7272856198834885,0.8533123145247925
TL-3,0.932259825327511,0.9527388045044756,0.9095783898562365,0.8776231103128274,0.9149308319623556,0.9128729394636059
TL-4,0.5574518976035847,0.5230713743920758,0.48238764532361617,0.44561263772733306,0.5117876014221969,0.6253161815661815
