voltage_phase_a,voltage_phase_b,voltage_phase_c,current_phase_a,current_phase_b,current_phase_c,types
17727.03248,9525.678437,-27252.71092,299.8698406,-54.68967006,-245.1801706,1
16914.12311,10497.68906,-27411.81217,295.5116183,-42.79028507,-252.7213333,1
16077.17784,11454.78189,-27531.95974,290.7334579,-30.83009273,-259.9033651,1
15217.38603,12395.59685,-27612.98288,285.5421493,-18.82608915,-266.7160601,1
14335.96948,13318.79699,-27654.76647,279.9450696,-6.795332665,-273.149737,1
13434.18073,14223.07039,-27657.25112,273.9501727,5.24508036,-279.1952531,1
12513.30127,15107.13203,-27620.4333,267.5659777,17.27803984,-284.8440175,1
11574.63973,15969.7256,-27544.36534,260.8015567,29.28644628,-290.088003,1
10619.52999,16809.62533,-27429.15532,253.6665224,41.25323507,-294.9197575,1
9649.329324,17625.63765,-27274.96698,246.1710142,53.16140077,-299.3324149,1
8665.416428,18416.60298,-27082.01941,238.3256834,64.9940212,-303.3197046,1
7669.189502,19181.39731,-26850.58681,230.1416788,76.73428157,-306.8759604,1
6662.064237,19918.93382,-26580.99806,221.6306303,88.36549833,-309.9961286,1
5645.471815,20628.16444,-26273.63626,212.8046326,99.87114288,-312.6757754,1
4620.856868,21308.08131,-25928.93818,203.6762278,111.2348651,-314.9110928,1
3589.675431,21957.71823,-25547.39366,194.2583879,122.4405164,-316.6989044,1
2553.392869,22576.15203,-25129.5449,184.5644963,133.4721731,-318.0366694,1
1513.481796,23162.50388,-24675.98568,174.6083284,144.3141585,-318.9224869,1
471.4199818,23715.94055,-24187.36053,164.4040325,154.9510657,-319.3550982,1
-571.3117456,24235.67557,-23664.36382,153.9661095,165.3677788,-319.3338883,1
-1613.231608,24720.97037,-23107.73876,143.3093922,175.5494953,-318.8588875,1
-2652.858979,25171.13531,-22518.27633,132.4490244,185.4817464,-317.9307708,1
-3688.716493,25585.5307,-21896.8142,121.4004394,195.1504178,-316.5508571,1
-4719.332139,25963.56764,-21244.2355,110.1793376,204.5417697,-314.7211073,1
-5743.241356,26304.70894,-20561.46758,98.80166501,213.6424566,-312.4441216,1
-6758.989113,26608.4698,-19849.48069,87.28358982,222.4395458,-309.7231357,1
-7765.131976,26874.41857,-19109.2866,75.64147988,230.9205363,-306.5620162,1
-8760.240162,27102.17733,-18341.93716,63.89187926,239.0733761,-302.9652554,1
-9742.899567,27291.4224,-17548.52284,52.05148478,246.8864795,-298.9379643,1
-10711.71378,27441.88488,-16730.1711,40.13712229,254.3487438,-294.4858661,1
-11665.30606,27553.35093,-15888.04487,28.16572275,261.4495645,-289.6152873,1
-12602.3213,27625.66216,-15023.34086,16.15429818,268.1788512,-284.3331493,1
-13521.42795,27658.71581,-14137.28786,4.119917474,274.5270409,-278.6469584,1
-14421.31992,27652.46492,-13231.145,-7.920317864,280.4851128,-272.5647949,1
-15300.7184,27606.91836,-12306.19996,-19.949298,286.0445999,-266.0953019,1
-16158.37372,27522.14086,-11363.76714,-31.94992909,291.1976021,-259.247673,1
-16993.06711,27398.25289,-10405.18578,-43.90515758,295.9367965,-252.0316389,1
-17803.61242,27235.43051,-9431.818085,-55.79799444,300.2554485,-244.457454,1
-18588.85782,27033.90508,-8445.047259,-67.61153929,304.1474211,-236.5358818,1
-19347.68744,26793.963,-7446.275558,-79.32900445,307.6071835,-228.2781791,1
-20079.02294,26515.94523,-6436.922293,-90.93373876,310.6298194,-219.6960806,1
-20781.82505,26200.24686,-5418.421809,-102.4092512,313.2110332,-210.801782,1
